N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"67,300",200,-0.30%,100,"4,017,664","5,969,783",53.05,"9,330,865",10.16,17.07,
2,LG에너지솔루션,"542,000","5,000",-0.91%,500,"1,268,280","234,000",5.19,"238,143",121.80,5.75,
3,SK하이닉스,"114,900",400,-0.35%,"5,000","836,475","728,002",52.52,"2,032,973",-35.91,3.56,
4,삼성바이오로직스,"794,000","7,000",-0.87%,"2,500","565,122","71,174",10.62,"34,779",71.06,11.42,
5,POSCO홀딩스,"577,000",0,0.00%,"5,000","487,976","84,571",29.31,"1,158,429",22.88,6.11,
6,삼성전자우,"55,500",500,-0.89%,100,"456,702","822,887",72.87,"740,225",8.38,N/A,
7,LG화학,"597,000","25,000",-4.02%,"5,000","421,436","70,592",45.93,"359,596",28.65,6.95,
8,삼성SDI,"610,000","23,000",-3.63%,"5,000","419,464","68,765",48.84,"179,722",21.10,12.52,
9,현대차,"188,800","1,700",-0.89%,"5,000","399,371","211,532",33.00,"295,168",5.74,9.36,
10,NAVER,"221,000","1,000",-0.45%,100,"362,548","164,049",46.91,"567,716",56.29,3.29,
11,포스코퓨처엠,"434,000","6,500",-1.48%,500,"336,190","77,463",8.09,"446,529",277.49,4.87,
12,기아,"78,700","1,600",-1.99%,"5,000","316,409","402,044",37.88,"871,822",4.91,14.57,
13,셀트리온,"154,000","2,500",-1.60%,"1,000","225,460","146,403",20.33,"485,674",38.54,13.35,
14,카카오,"50,700",900,-1.74%,100,"225,286","444,351",26.51,"1,054,432",177.27,13.54,
15,현대모비스,"233,000",0,0.00%,"5,000","219,684","94,285",37.93,"154,725",7.84,6.80,
16,KB금융,"51,600",0,0.00%,"5,000","208,212","403,511",72.63,"580,367",4.77,9.17,
17,삼성물산,"104,500",400,-0.38%,100,"193,943","185,592",18.49,"150,657",9.12,7.16,
18,신한지주,"34,950",150,+0.43%,"5,000","181,162","518,347",59.38,"609,566",3.99,9.70,
19,SK이노베이션,"184,200","6,300",-3.31%,"5,000","170,322","92,466",23.56,"516,591",27.24,8.49,
20,LG전자,"101,500","2,300",-2.22%,"5,000","166,103","163,648",29.19,"608,047",41.62,6.61,
21,포스코인터내셔널,"90,600","5,400",+6.34%,"5,000","159,386","175,923",4.81,"5,463,986",20.23,15.79,
22,삼성생명,"69,300","1,000",-1.42%,500,"138,600","200,000",16.89,"91,977",6.86,5.73,
23,카카오뱅크,"27,100",500,-1.81%,"5,000","129,204","476,767",15.37,"751,650",43.29,4.68,
24,LG,"81,200","1,100",-1.34%,"5,000","127,728","157,301",36.27,"138,598",11.83,8.48,
25,한국전력,"18,640",320,-1.69%,"5,000","119,662","641,964",14.72,"1,409,178",-0.51,-46.91,
26,KT&G,"86,500","1,500",+1.76%,"5,000","118,758","137,292",42.80,"351,424",11.62,11.00,
27,삼성화재,"250,500",0,0.00%,500,"118,674","47,375",53.32,"42,861",8.77,9.70,
28,HD현대중공업,"127,700","4,800",-3.62%,"5,000","113,363","88,773",7.54,"195,329",-57.63,-6.47,
29,하나금융지주,"38,300",100,+0.26%,"5,000","113,331","295,903",67.22,"415,609",3.02,10.06,
30,삼성전기,"147,900","3,500",-2.31%,"5,000","110,472","74,694",31.76,"300,927",14.78,13.76,
31,SK,"148,500","2,600",-1.72%,200,"108,700","73,198",22.65,"126,058","-7,425.00",5.13,
32,두산에너빌리티,"16,610",320,-1.89%,"5,000","106,397","640,561",12.84,"3,192,355",-15.91,-11.70,
33,삼성에스디에스,"137,300","2,100",+1.55%,500,"106,240","77,378",15.96,"156,560",9.62,14.23,
34,하이브,"252,000","3,000",-1.18%,500,"104,963","41,652",15.97,"201,053",236.40,1.87,
35,메리츠금융지주,"50,200",450,+0.90%,500,"104,525","208,218",16.30,"259,831",5.41,30.32,
36,SK텔레콤,"47,200",450,+0.96%,100,"103,289","218,833",41.37,"535,312",10.41,7.97,
37,고려아연,"488,000","13,000",-2.59%,"5,000","96,932","19,863",21.17,"29,372",12.47,9.38,
38,한화오션,"43,300","3,100",-6.68%,"5,000","93,906","216,873",3.02,"1,344,107",-3.38,-117.79,
39,대한항공,"24,800",200,-0.80%,"5,000","91,319","368,221",16.60,"981,266",6.34,21.95,
40,S-Oil,"76,900",800,-1.03%,"2,500","86,576","112,583",76.74,"215,228",5.98,27.20,
41,KT,"32,400",100,+0.31%,"5,000","84,600","261,112",40.10,"697,829",7.36,7.99,
42,HMM,"17,100",500,-2.84%,"5,000","83,626","489,039",11.47,"1,165,751",1.81,64.98,
43,우리금융지주,"11,440",20,+0.18%,"5,000","83,290","728,061",37.08,"1,784,987",2.59,11.51,
44,기업은행,"10,440",30,+0.29%,"5,000","83,251","797,426",14.02,"463,173",2.94,9.85,
45,HD한국조선해양,"116,500","2,100",-1.77%,"5,000","82,451","70,773",23.66,"346,269",-65.93,-2.22,
46,크래프톤,"161,500","1,600",-0.98%,100,"78,106","48,363",31.77,"119,865",15.18,10.29,
47,LG생활건강,"495,000",0,0.00%,"5,000","77,310","15,618",33.14,"127,413",40.16,4.41,
48,아모레퍼시픽,"131,600","1,200",+0.92%,500,"76,976","58,493",25.20,"579,055",87.09,2.81,
49,삼성중공업,"8,740",420,-4.59%,"1,000","76,912","880,000",19.25,"12,127,743",-15.23,-16.08,
50,금양,"131,100","1,200",+0.92%,500,"76,104","58,050",2.73,"2,320,732",-212.14,-24.34,
